Date,S&P 500 Pure Value (TR)
2016-02-18,8010.39
2016-02-19,7931.97
2016-02-22,8136.69
2016-02-23,8013.62
2016-02-24,8072.35
2016-02-25,8155.79
2016-02-26,8198.46
2016-02-29,8166.5
2016-03-01,8354.79
2016-03-02,8487.29
2016-03-03,8626.3
2016-03-04,8699.64
2016-03-07,8784.39
2016-03-08,8582.8
2016-03-09,8628.58
2016-03-10,8665.77
2016-03-11,8845.23
2016-03-14,8820.35
2016-03-15,8732.36
2016-03-16,8858.78
2016-03-17,8960.53
2016-03-18,9017.89
2016-03-21,9000.81
2016-03-22,8981.93
2016-03-23,8828.91
2016-03-24,8835.41
2016-03-28,8848.4
2016-03-29,8907.81
2016-03-30,8922.31
2016-03-31,8924.61
2016-04-01,8905.81
2016-04-04,8827.61
2016-04-05,8698.6
2016-04-06,8759.47
2016-04-07,8629.86
2016-04-08,8681.78
2016-04-11,8709.75
2016-04-12,8830.27
2016-04-13,8992.71
2016-04-14,8975.64
2016-04-15,8983.62
2016-04-18,9050.5
2016-04-19,9178.11
2016-04-20,9202.92
2016-04-21,9118.22
2016-04-22,9202.12
2016-04-25,9112.89
2016-04-26,9222.13
2016-04-27,9330.07
2016-04-28,9218.77
2016-04-29,9175.97
2016-05-02,9203.26
2016-05-03,9036.85
2016-05-04,8953.97
2016-05-05,8925.38
2016-05-06,8985.78
2016-05-09,8911.36
2016-05-10,9044.89
2016-05-11,8946.67
2016-05-12,8893.9
2016-05-13,8788.82
2016-05-16,8886.29
2016-05-17,8850.69
2016-05-18,8822.56
2016-05-19,8816.61
2016-05-20,8906.62
2016-05-23,8882.51
2016-05-24,8970.13
2016-05-25,9092.38
2016-05-26,9081.2
2016-05-27,9140.09
2016-05-31,9162.45
2016-06-01,9173.95
2016-06-02,9204.57
2016-06-03,9187.72
2016-06-06,9303.99
2016-06-07,9327.04
2016-06-08,9356
2016-06-09,9267.44
2016-06-10,9081.56
2016-06-13,8985.05
2016-06-14,8898.07
2016-06-15,8922.37
2016-06-16,8918.15
2016-06-17,9000.15
2016-06-20,9057.21
2016-06-21,9083.83
2016-06-22,9060.66
2016-06-23,9239.41
2016-06-24,8811.97
2016-06-27,8505.79
2016-06-28,8703.77
2016-06-29,8883.11
2016-06-30,9054.78
2016-07-01,9101.72
2016-07-05,8910.93
2016-07-06,8980.95
2016-07-07,8966.7
2016-07-08,9159.8
2016-07-11,9216.79
