Date,Dow Jones U.S. Thematic Long Size Total Return Index
2015-08-12,1711.02
2015-08-13,1705.71
2015-08-14,1715.78
2015-08-17,1731.8
2015-08-18,1723.56
2015-08-19,1705.56
2015-08-20,1667.24
2015-08-21,1635.33
2015-08-24,1573.38
2015-08-25,1560.33
2015-08-26,1598.23
2015-08-27,1639.64
2015-08-28,1649.7
2015-08-31,1644.55
2015-09-01,1599.21
2015-09-02,1617.87
2015-09-03,1624.49
2015-09-04,1603.89
2015-09-08,1642.28
2015-09-09,1623.69
2015-09-10,1626.59
2015-09-11,1633.64
2015-09-14,1627.28
2015-09-15,1645.25
2015-09-16,1665.27
2015-09-17,1659.94
2015-09-18,1628.87
2015-09-21,1634.11
2015-09-22,1610.96
2015-09-23,1602.95
2015-09-24,1595.71
2015-09-25,1589.69
2015-09-28,1547.01
2015-09-29,1544.57
2015-09-30,1565.14
2015-10-01,1561.11
2015-10-02,1589.58
2015-10-05,1628.44
2015-10-06,1627.7
2015-10-07,1649.17
2015-10-08,1668.33
2015-10-09,1672.36
2015-10-12,1666.58
2015-10-13,1646.37
2015-10-14,1635.06
2015-10-15,1655.11
2015-10-16,1652.65
2015-10-19,1652.38
2015-10-20,1651.61
2015-10-21,1629.41
2015-10-22,1641.09
2015-10-23,1653.75
2015-10-26,1649.29
2015-10-27,1632.87
2015-10-28,1671.07
2015-10-29,1658.52
2015-10-30,1659.41
2015-11-02,1688.46
2015-11-03,1693.33
2015-11-04,1684.86
2015-11-05,1683.48
2015-11-06,1682.57
2015-11-09,1665.78
2015-11-10,1669.34
2015-11-11,1648.11
2015-11-12,1616.48
2015-11-13,1597.16
2015-11-16,1610.98
2015-11-17,1604.39
2015-11-18,1633.53
2015-11-19,1626.5
2015-11-20,1633.01
2015-11-23,1639.75
2015-11-24,1653.2
2015-11-25,1662.39
2015-11-27,1665.32
