Date,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR
2015-07-14,9201.37
2015-07-15,9200.79
2015-07-16,9293.85
2015-07-17,9246.38
2015-07-20,9232.2
2015-07-21,9182.82
2015-07-22,9220.68
2015-07-23,9150.88
2015-07-24,9106.73
2015-07-27,9132.93
2015-07-28,9208.39
2015-07-29,9248
2015-07-30,9259.55
2015-07-31,9320.88
2015-08-03,9351.59
2015-08-04,9299.49
2015-08-05,9328.09
2015-08-06,9304.89
2015-08-07,9325.26
2015-08-10,9344.91
2015-08-11,9350.84
2015-08-12,9421.76
2015-08-13,9431.6
2015-08-14,9485.39
2015-08-17,9538.35
2015-08-18,9524.85
2015-08-19,9507.92
2015-08-20,9405.71
2015-08-21,9200.46
2015-08-24,8841.51
2015-08-25,8640.58
2015-08-26,8879.13
2015-08-27,9020.78
2015-08-28,9008.44
2015-08-31,8883.32
2015-09-01,8670.09
2015-09-02,8762.72
2015-09-03,8788.9
2015-09-04,8659.49
2015-09-08,8863.43
2015-09-09,8737.12
2015-09-10,8753.03
2015-09-11,8835.84
2015-09-14,8827.11
2015-09-15,8910.96
2015-09-16,9014.32
2015-09-17,9089
2015-09-18,9019.77
2015-09-21,9041.05
2015-09-22,8941.57
2015-09-23,8957.94
2015-09-24,8954.94
2015-09-25,8988.46
2015-09-28,8833.41
2015-09-29,8868.18
2015-09-30,9011.14
2015-10-01,8993.76
2015-10-02,9101.96
2015-10-05,9233.55
2015-10-06,9150.62
2015-10-07,9203.15
2015-10-08,9285.14
2015-10-09,9288.16
2015-10-12,9340.46
2015-10-13,9287.76
2015-10-14,9237.77
2015-10-15,9347.3
2015-10-16,9408.73
2015-10-19,9448.84
2015-10-20,9434.68
2015-10-21,9411.46
2015-10-22,9556.69
2015-10-23,9480.83
2015-10-26,9489.88
2015-10-27,9483.24
2015-10-28,9479.01
2015-10-29,9479.99
2015-10-30,9457.24
2015-11-02,9532.27
2015-11-03,9508.22
2015-11-04,9485.37
2015-11-05,9466.28
2015-11-06,9274.44
2015-11-09,9204.83
2015-11-10,9267.01
2015-11-11,9282.09
2015-11-12,9170.95
2015-11-13,9076.59
2015-11-16,9193.1
2015-11-17,9154.28
2015-11-18,9278.38
2015-11-19,9326.19
2015-11-20,9362.83
2015-11-23,9358.72
2015-11-24,9338.53
2015-11-25,9340.07
2015-11-27,9369.31
2015-11-30,9316.34
2015-12-01,9416.81
2015-12-02,9293.89
2015-12-03,9190.2
2015-12-04,9391.07
2015-12-07,9400.95
2015-12-08,9387.11
2015-12-09,9324.53
