Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2015-09-14,7304.5
2015-09-15,7416.88
2015-09-16,7509.24
2015-09-17,7428.87
2015-09-18,7219.14
2015-09-21,7263.39
2015-09-22,7126.69
2015-09-23,7067.4
2015-09-24,7032.31
2015-09-25,7057.26
2015-09-28,6822.61
2015-09-29,6837.7
2015-09-30,7001.97
2015-10-01,6997.57
2015-10-02,7105.72
2015-10-05,7315.91
2015-10-06,7354.32
2015-10-07,7471.21
2015-10-08,7579.31
2015-10-09,7554.78
2015-10-12,7511.07
2015-10-13,7430.73
2015-10-14,7396.56
2015-10-15,7496.14
2015-10-16,7465.15
2015-10-19,7408.28
2015-10-20,7450.66
2015-10-21,7342.68
2015-10-22,7467.81
2015-10-23,7555.38
2015-10-26,7487.98
2015-10-27,7373.06
2015-10-28,7585.8
2015-10-29,7547.76
2015-10-30,7557.38
2015-11-02,7700.35
2015-11-03,7762.66
2015-11-04,7726.75
2015-11-05,7739.67
2015-11-06,7799.12
2015-11-09,7708.3
2015-11-10,7695.65
2015-11-11,7609.07
2015-11-12,7448.01
2015-11-13,7361.17
2015-11-16,7483.99
2015-11-17,7456.73
2015-11-18,7596.23
2015-11-19,7555.26
2015-11-20,7556.03
2015-11-23,7557.76
2015-11-24,7626.21
2015-11-25,7625.07
2015-11-27,7611.1
2015-11-30,7628.41
2015-12-01,7715.03
2015-12-02,7584.35
2015-12-03,7469.57
2015-12-04,7560.45
2015-12-07,7386.17
2015-12-08,7288.73
2015-12-09,7238.18
2015-12-10,7275.24
2015-12-11,7056.88
2015-12-14,7015.83
2015-12-15,7160.36
2015-12-16,7251.27
2015-12-17,7091.01
2015-12-18,6954.52
2015-12-21,7016.77
2015-12-22,7107.8
2015-12-23,7286.48
2015-12-24,7275.8
2015-12-28,7194.47
2015-12-29,7280.01
2015-12-30,7207.17
2015-12-31,7161.37
2016-01-04,7074.75
2016-01-05,7043.95
2016-01-06,6834.01
2016-01-07,6604.12
2016-01-08,6493.38
2016-01-11,6428.06
2016-01-12,6451.95
2016-01-13,6218.84
2016-01-14,6315.34
2016-01-15,6136.43
2016-01-19,6045.62
2016-01-20,5971.97
2016-01-21,6036.34
2016-01-22,6163.79
2016-01-25,5957.13
2016-01-26,6117.96
2016-01-27,6091.65
2016-01-28,6093.18
2016-01-29,6314.3
2016-02-01,6282.15
2016-02-02,6040.32
2016-02-03,6133.18
2016-02-04,6238.78
2016-02-05,6111.3
2016-02-08,5893.92
2016-02-09,5851.15
2016-02-10,5834.97
2016-02-11,5691.49
2016-02-12,5904.77
2016-02-16,6061.87
2016-02-17,6240.18
2016-02-18,6179.34
2016-02-19,6144.65
2016-02-22,6329.22
2016-02-23,6164.78
2016-02-24,6196.09
2016-02-25,6251.29
2016-02-26,6356.42
2016-02-29,6308.88
2016-03-01,6508.55
2016-03-02,6642.95
2016-03-03,6783.72
2016-03-04,6888.76
2016-03-07,6957.42
2016-03-08,6689.48
2016-03-09,6742.84
2016-03-10,6760.48
2016-03-11,6968.91
2016-03-14,6946.23
2016-03-15,6878.85
2016-03-16,6975.45
2016-03-17,7095.59
2016-03-18,7150.52
2016-03-21,7156.3
2016-03-22,7142.5
2016-03-23,6966.2
2016-03-24,6955.3
2016-03-28,6960.16
2016-03-29,6995.32
2016-03-30,7030.98
2016-03-31,7045.96
2016-04-01,7028.71
2016-04-04,6944.18
2016-04-05,6864.92
2016-04-06,6947.29
2016-04-07,6808.25
2016-04-08,6878.75
2016-04-11,6921.75
2016-04-12,7075.51
2016-04-13,7256.4
2016-04-14,7247.9
2016-04-15,7218.24
2016-04-18,7280.64
2016-04-19,7360.09
2016-04-20,7444.49
2016-04-21,7423.99
2016-04-22,7506.15
2016-04-25,7426.82
2016-04-26,7531.51
2016-04-27,7612.25
2016-04-28,7489.72
2016-04-29,7418.12
2016-05-02,7431.91
2016-05-03,7261.39
2016-05-04,7136.96
2016-05-05,7118.02
2016-05-06,7133.68
2016-05-09,7061.98
2016-05-10,7209.36
2016-05-11,7178.6
2016-05-12,7137.53
2016-05-13,7044.87
2016-05-16,7136.1
2016-05-17,7147.12
2016-05-18,7213.59
2016-05-19,7151.82
2016-05-20,7235.81
2016-05-23,7234.71
2016-05-24,7343.17
2016-05-25,7461.2
2016-05-26,7413.97
2016-05-27,7465.16
2016-05-31,7474.94
2016-06-01,7479.35
2016-06-02,7509.57
2016-06-03,7421.55
2016-06-06,7550.37
2016-06-07,7600.93
2016-06-08,7608.93
2016-06-09,7520.15
2016-06-10,7342.8
2016-06-13,7267.77
2016-06-14,7197.13
2016-06-15,7209.08
2016-06-16,7174.08
2016-06-17,7236.3
2016-06-20,7332.09
2016-06-21,7357.43
2016-06-22,7343.29
2016-06-23,7533.35
2016-06-24,7008.42
2016-06-27,6638.64
2016-06-28,6830.61
2016-06-29,7014.83
